"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48526,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.020","20","0.11","Brooklyn","","","https://www.flickr.com/photos/25459876@N04/18672784239","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48526,1014,"T.A.36.37 Palace Central W. of Axis","Limestone relief","TA.OC.36-37.020","20","0.11","Brooklyn","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18672784239","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48527,433,"Palace - Central, W. of Axis","Limestone Relief","TA.OC.36-37.021","21","0.33","University College","TA.36-37; 18 x 10","","https://www.flickr.com/photos/25459876@N04/18853797272","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48527,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.021","21","0.33","University College","","","https://www.flickr.com/photos/25459876@N04/18853797272","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48527,1014,"T.A.36.37 Palace Central W. of Axis","Limestone relief","TA.OC.36-37.021","21","0.33","University College","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18853797272","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48528,433,"Palace - Central, W. of Axis","Limestone Relief","TA.OC.36-37.022","22","0.12","Cambridge Fitzwilliam","TA.36-37; 22 x 29","","https://www.flickr.com/photos/25459876@N04/18672783649","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48528,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.022","22","0.12","Cambridge Fitzwilliam","","","https://www.flickr.com/photos/25459876@N04/18672783649","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48528,1014,"T.A.36.37 Palace Central W. of Axis","Limestone relief","TA.OC.36-37.022","22","0.12","Cambridge Fitzwilliam","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18672783649","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48529,433,"Palace - Central, W. of Axis","Limestone Relief","TA.OC.36-37.023","23","0.34","Boston","TA.36-37; 24 x 34","","https://www.flickr.com/photos/25459876@N04/18861695931","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48529,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.023","23","0.34","Boston","","","https://www.flickr.com/photos/25459876@N04/18861695931","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48529,1014,"T.A.36.37 Palace- Central W. of Axis","Limestone relief","TA.OC.36-37.023","23","0.34","Boston","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18861695931","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48530,433,"Palace - Central, W. of Axis","Limestone Relief","TA.OC.36-37.024","24","0.8","Brooklyn","T.A. 36-37; 23 x 14; ?U.C.","","https://www.flickr.com/photos/25459876@N04/18672777269","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48530,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.024","24","0.8","Brooklyn","","","https://www.flickr.com/photos/25459876@N04/18672777269","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48530,1014,"T.A.36.37 Palace- Central W. of Axis","Limestone relief","TA.OC.36-37.024","24","0.8","Brooklyn","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18672777269","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48531,433,"Palace - Central, W. of Axis","Fragment of limestone stela","TA.OC.36-37.025","25","0.2","Ashmolean","T.A. 36-37; 6 x 8; Red; Black","","https://www.flickr.com/photos/25459876@N04/18671311978","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48531,580,"Palace - Central - W. of Axis","Fragment of limestone stela","TA.OC.36-37.025","25","0.2","Ashmolean","","","https://www.flickr.com/photos/25459876@N04/18671311978","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48531,1014,"T.A.36.37 Palace Central W. of Axis","Fragment of limestone stela","TA.OC.36-37.025","25","0.2","Ashmolean","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18671311978","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48532,433,"Palace - Central, W. of Axis","Sculptor's Trial Piece","TA.OC.36-37.026","26","0.1","Glasgow G. Soc.","T.A. 36-37; 12.5 x 8.5","","https://www.flickr.com/photos/25459876@N04/18671356160","Theresa Huntsman; Joellen mcGann; Denis Antoine"
