"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48732,580,"Main Chapel","Fragment of limestone relief, inscribed.","TA.SC.26-27.068","26-7/68","","","","","https://www.flickr.com/photos/25459876@N04/18833270596","JP OConnor; Joellen mcGann; Denis Antoine"
48732,817,"","fragment of limestone relief inscribed","TA.SC.26-27.068","TA S 26/7 68","","","Main Chapel 14 x 8.5.","","https://www.flickr.com/photos/25459876@N04/18833270596","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48733,433,"Main Chapel","Fragment of black granite relief, vase?","TA.SC.26-27.069","26-7/69","None given","None given","T.A./S; 9 x 6.2, 6 x 10","","https://www.flickr.com/photos/25459876@N04/18859527115","JP OConnor; Joellen mcGann; Denis Antoine"
48733,580,"Main Chapel","Fragment of black granite relief, [...]?","TA.SC.26-27.069","26-7/69","","","","","https://www.flickr.com/photos/25459876@N04/18859527115","JP OConnor; Joellen mcGann; Denis Antoine"
48733,817,"","Fragment of black granite relief, [...]?","TA.SC.26-27.069","TA S 26-7 69","","","Main Chapel.","Dimensions shown as ""9x6.2. or 6 x 10"".","https://www.flickr.com/photos/25459876@N04/18859527115","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48734,433,"Main Chapel","Fragment of black limestone relief, inscribed","TA.SC.26-27.070a","26-7/70A","None given","None given","T.A./S; 7.5 x 9.5","","https://www.flickr.com/photos/25459876@N04/18859526355","JP OConnor; Joellen mcGann; Denis Antoine"
48734,580,"Main Chapel","Fragment of black limestone relief, inscribed.","TA.SC.26-27.070a","26-7/70A","","","","","https://www.flickr.com/photos/25459876@N04/18859526355","JP OConnor; Joellen mcGann; Denis Antoine"
48734,817,"","Fragment of black limestone relief, inscribed:","TA.SC.26-27.070a","TA S 26-7 70A","","","Main Chapel. 7.5x9.5","","https://www.flickr.com/photos/25459876@N04/18859526355","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48735,433,"Main Chapel","Fragment of granite, sculptured","TA.SC.26-27.070b","26-7/70B","None given","None given","T.A./S; 11.5 x 7","","https://www.flickr.com/photos/25459876@N04/18673365659","JP OConnor; Joellen mcGann; Denis Antoine"
48735,580,"Main Chapel","Fragment of granite, sculptured.","TA.SC.26-27.070b","26-7/70B","","","","","https://www.flickr.com/photos/25459876@N04/18673365659","JP OConnor; Joellen mcGann; Denis Antoine"
48735,817,"","Fragment of granite sculptured","TA.SC.26-27.070b","TA S 26-7 70B","","","Main Chapel. 11.5 x 7.","","https://www.flickr.com/photos/25459876@N04/18673365659","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48736,433,"Main Chapel","Fragment of black granite relief (?), inscribed on two sides","TA.SC.26-27.071","26-7/71","None given","None given","T.A./S; 15 x 13","","https://www.flickr.com/photos/25459876@N04/18238910833","JP OConnor; Joellen mcGann; Denis Antoine"
48736,580,"Main Chapel","Fragment of black granite stèle (?), inscribed on two sides.","TA.SC.26-27.071","26-7/71","","","","","https://www.flickr.com/photos/25459876@N04/18238910833","JP OConnor; Joellen mcGann; Denis Antoine"
48736,817,"","Fragment of black granite Niche (?), inscribed on two sides","TA.SC.26-27.071","TA S 26-7 71","","","Main Chapel. 15x13.","","https://www.flickr.com/photos/25459876@N04/18238910833","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48737,433,"House A","Fragment of painted limestone stele, part of cenetto","TA.SC.26-27.072","26-7/72","None given","None given","T.A./S; Blue, W., Red","","https://www.flickr.com/photos/25459876@N04/18862278431","JP OConnor; Joellen mcGann; Denis Antoine"
48737,580,"House A","Fragment of painted limestone stele, part of [...]","TA.SC.26-27.072","26-7/72","","","","","https://www.flickr.com/photos/25459876@N04/18862278431","JP OConnor; Joellen mcGann; Denis Antoine"
